Sync data	3408395251	203648	214128	200	10000
Sdata	3_Light Sensor_on	4_Distance Sensor_in	6_FP Rotation Sensor_deg	7_FP Rotation Sensor_deg
Time	Light Sensor	Ultrasonic Sensor	Rotation Sensor	Rotation Sensor
0	38	30	0	0
201	37	29	11	10
400	38	29	44	43
603	35	28	78	79
803	36	28	112	114
1002	36	26	146	148
1202	36	26	181	182
1401	37	100	216	216
1600	36	24	251	253
1803	35	22	287	287
2003	34	21	323	322
2202	34	20	358	358
2402	35	19	394	394
2601	36	19	427	428
2800	35	100	461	461
3003	36	16	496	496
3203	36	15	530	529
3403	35	14	565	564
3603	35	15	600	600
3803	36	12	634	636
4003	36	11	670	670
4202	36	13	705	705
4401	37	11	727	727
4600	36	11	722	722
4801	36	11	722	722
5003	36	11	722	722
5202	36	11	722	722
5400	36	11	722	722
5601	36	11	722	722
5803	36	11	722	722
6000	36	11	722	722
6202	36	11	722	722
6401	36	11	722	722
6600	36	11	722	722
